Timestamp,OxEnRa,BlFuPeIn,EnOxFl,CoBlFl,BlMo,BlFuBoGaVo,BlFuBoGaIn,ThCoTe,ToGaPr,EnOxPr,CoBlPr,ToPrDr,HoBlPr,AcBlVe,CoBlTe,HoBlTe,ToTe,BlHu,CoInSeVa,FoSI,HoBl,ToGasP,CoBF,SI
2021-05-12 17:56:25,3.691772012,17.66152271,16941.90435,36.47267019,146.2858246,7925.957227,81.97575746,2210.712256,224.3664798,1.200284367,0.435829103,189.8421442,0.450193348,266.6532975,212.9361827,1087.730999,,13.11866884,45.99405863,0.481271875,1075.254532,221.6007346,36.79652144,0.479
2021-05-12 17:56:25,3.744627861,0.193811255,17554.95407,34.08743429,161.762571,8049.51886,81.63747207,2268.780322,0.005692189,1.103923404,43357.10609,193.9529739,0.416160344,278.120674,,2.082850721,1.79587968,10.35392852,1.58086075,0.3379675,2.110829266,0.005584242,34.23828891,0.312455789
2021-05-12 18:01:25,3.702921788,17.5319521,16983.4158,35.52665189,,7927.604542,81.53468539,2212.091683,224.2534325,1.16727147,0.436605544,190.9312251,0.440373964,266.829722,213.6411899,1092.204113,155.7913472,13.5977544,45.99584104,0.480590312,1086.126125,220.7955484,35.67892651,0.485
2021-05-12 18:38:31,3.704257779,17.78735784,16990.58924,34.88220769,147.0029537,7932.06227,81.25952978,2206.561905,224.1814936,1.135908211,0.433576336,188.3282212,0.430141821,267.4548963,213.7904239,1088.005197,158.1138975,13.9509199,45.99708873,0.481913219,1102.376863,228.0131786,34.68094375,0.429
2021-05-12 18:49:02,3.710454897,17.84544565,17028.06247,34.44576635,150.3940031,7938.962944,81.10550955,2217.517527,224.0868842,1.147234135,0.433173112,187.629271,0.424058629,270.4635887,213.5174903,1101.989445,161.883438,14.1852149,45.99796211,,1101.785918,225.5027979,34.20614589,0.43
2021-05-12 18:54:32,3.702601973,17.76613014,16990.94373,34.12972736,152.0121658,7939.96497,80.95876578,2224.17136,224.1271826,1.158036622,0.433992997,188.364126,0.421130131,271.933603,213.5049705,1111.840793,162.2174975,14.36411406,45.99857348,0.455227477,1108.460534,225.0663448,33.63601345,0.394
2021-05-12 19:28:38,3.703120248,17.87600991,17000.7715,33.92183786,151.947625,7944.722013,80.89704198,2219.584308,224.0778892,1.172014249,0.432481583,187.2372645,0.417362181,271.822829,213.5746179,1107.021278,162.294971,14.49368281,45.99900143,0.436859234,1110.226654,225.0885927,34.56149434,0.407
2021-05-12 19:30:46,3.03783829,0.193811255,14041.40571,33.82385806,,7929.298904,80.44683406,2156.540133,0.005692189,1.353282204,46696.08604,196.1530971,0.424294138,265.7067632,218.8569752,2.076915806,1.833292649,14.27047548,1.578265229,0.507693212,2.08144741,0.005789958,33.17732526,0.396091634
2021-05-12 19:37:41,3.694014395,18.2883236,16994.63449,33.8450365,152.2133375,7961.155409,80.98687383,2204.20346,224.0989669,1.170126641,0.426851552,184.1171962,0.412448527,271.7315359,213.2238992,1088.779339,157.7220353,,45.999301,0.427901464,1101.174099,222.8470751,33.31839438,0.35
2021-05-12 20:48:52,3.694890513,18.06738813,16998.73656,33.73536986,154.0829855,7961.717317,80.93877377,2210.913749,223.8664569,,,186.2573928,0.413086717,273.3959614,213.1120138,1097.073499,158.4097612,14.61278681,45.9995107,0.404531025,1088.164902,220.3055453,33.9815793,0.452
